rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
C_active_PI,"han2005","Hani Najafi","Assistant Professor of Cell and Developmental Biology","Cell and Developmental Biology",24,1,58.0
C_active_PI,"apb9012","Adam Buckholz","Assistant Professor of Medicine","Medicine",24,1,58.0
D_20to49_pubs,"cag9152","Christine Garcia","Assistant Professor of Medicine","Medicine",24,0,56.0
D_20to49_pubs,"jeb2061","Jennifer N. Bress","Assistant Professor of Psychology in Psychiatry","Psychiatry",24,0,54.0
D_20to49_pubs,"afs4002","Ahmed Serag","Assistant Professor of Research in Systems and Computational Biomedicine","Systems and Computational Biomedicine",24,0,40.0
D_20to49_pubs,"sas9204","Seyed Safavynia","Assistant Professor of Anesthesiology","Anesthesiology",24,0,60.0
D_20to49_pubs,"vjb9003","Vivian Bea","Assistant Professor of Surgery","Surgery",24,0,56.0
D_20to49_pubs,"mah9092","Manju Harshan","Assistant Professor of Clinical Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",24,0,
D_20to49_pubs,"bcl2004","Benjamin C Lee","Assistant Professor of Artificial Intelligence Research in Radiology","Radiology",24,0,64.0
D_20to49_pubs,"oll9021","Olga Laur","Assistant Professor of Clinical Radiology","Radiology",24,0,45.0
D_20to49_pubs,"haz2004","Haijun Zhang","Assistant Professor of Research in Genetic Medicine","Genetic Medicine",24,0,65.0
D_20to49_pubs,"duc9005","Dustin Carpenter","Assistant Professor of Surgery","Surgery",24,0,44.0
D_20to49_pubs,"shh4006","Hani Hojjati","Instructor of Electrical Engineering in Radiology","Radiology",24,0,57.0
D_20to49_pubs,"syj7002","Silis Jiang","Instructor of Population Health Sciences in Anesthesiology","Anesthesiology",24,0,63.0
D_20to49_pubs,"nac9126","Natalya Chernichenko","Assistant Professor of Clinical Otolaryngology","Otolaryngology Head and Neck Surgery",24,0,59.0
D_20to49_pubs,"jon9024","John Ng","Associate Professor of Clinical Radiation Oncology","Radiation Oncology",24,0,50.0
C_active_PI,"yuy2010","Yue (Cindy) Yang","Assistant Professor of Research in Pharmacology","Pharmacology",23,3,63.0
C_active_PI,"mrh4003","Michael Harrison","Assistant Professor of Cell and Developmental Biology","Cell and Developmental Biology",23,2,59.0
C_active_PI,"jmg2008","Jesus Maria Gomez Salinero","Assistant Professor of Biomedicine in Medicine","Medicine",23,1,73.0
C_active_PI,"ilc7004","Ilan Cerna-turoff","Assistant Professor of Epidemiology in Emergency Medicine","Emergency Medicine",23,1,
C_active_PI,"rec9091","Rebecca Craig-Schapiro","Assistant Professor of Surgery","Surgery",23,1,61.0
D_20to49_pubs,"dib2020","Divya Bhatia","Assistant Professor of Immunology Research in Medicine","Medicine",23,0,60.0
D_20to49_pubs,"num2008","Nuria Mencia Trinchant","Assistant Professor of Cancer Genomics Research in Medicine","Medicine",23,0,59.0
D_20to49_pubs,"irs9009","Irina Sobol","Assistant Professor of Medicine","Medicine",23,0,62.0
D_20to49_pubs,"sam9235","Saad Mir","Assistant Professor of Clinical Neurology","Neurology",23,0,65.0
D_20to49_pubs,"ddh9002","Deyin D. Hsing","Assistant Professor of Clinical Pediatrics","Pediatrics",23,0,37.0
D_20to49_pubs,"alh4014","Andy Hickner","Assistant Librarian","Library",23,0,64.0
D_20to49_pubs,"phc9021","Philip Hyungjin Chang","Assistant Professor of Surgery","Surgery",23,0,
D_20to49_pubs,"hup4002","Hubert Pakula","Assistant Professor of Research in Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",23,0,62.0
D_20to49_pubs,"dyl9002","Daniel Lu","Assistant Professor of Medicine","Medicine",23,0,63.0
D_20to49_pubs,"eah9008","Edwin Homan","Assistant Professor of Medicine","Medicine",23,0,76.0
