rank_tier,cwid,name,primary_title,primary_department,confirmed_pubs,active_pi_grants,max_pub_impact
A_100plus_pubs,"rgcryst","Ronald G Crystal","Chair of Genetic Medicine","Genetic Medicine",921,10,65.0
A_100plus_pubs,"mfg9004","Mario Fl Gaudino","Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",875,4,67.0
A_100plus_pubs,"rharrington","Robert Harrington","Stephen and Suzanne Weiss Dean","Medicine",758,0,78.0
A_100plus_pubs,"jmo9001","J Mocco","Chair of Neurological Surgery","Neurological Surgery",604,0,63.0
A_100plus_pubs,"ole2001","Olivier Elemento","Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",554,2,75.0
A_100plus_pubs,"cns9006","Cora Sternberg","Professor of Medicine","Medicine",527,0,75.0
A_100plus_pubs,"mal4005","Massimo Loda","Chair of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",521,1,66.0
A_100plus_pubs,"mac9795","Massimo Cristofanilli","Professor of Medicine","Medicine",479,2,67.0
A_100plus_pubs,"kdr9004","Dan Riew","Professor of Orthopaedic Surgery in Neurological Surgery","Neurological Surgery",455,0,63.0
A_100plus_pubs,"hgp2001","Holly G Prigerson","Professor of Sociology in Radiology","Radiology",435,2,74.0
A_100plus_pubs,"nakayos","Yoshifumi Naka","Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",434,0,63.0
A_100plus_pubs,"gec4008","George Coukos","Professor of Immunology in Medicine (Pending Appointment at Rank)","Medicine",426,0,
A_100plus_pubs,"bjr4002","Bjorn Redfors","Professor of Research in Population Health Sciences","Population Health Sciences",413,0,67.0
A_100plus_pubs,"pac2001","Paul J Christos","Professor of Research in Population Health Sciences","Population Health Sciences",374,2,64.0
A_100plus_pubs,"lja2002","Laith Jamal Abu-Raddad","Professor of Population Health Sciences","Population Health Sciences",372,1,83.0
A_100plus_pubs,"ggi9001","Giorgio Ga. Inghirami","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",350,0,75.0
A_100plus_pubs,"jch9011","Jim C. Hu","Professor of Urology","Urology",340,4,68.0
A_100plus_pubs,"dac9184","David Leslie Carr-Locke","Professor of Medicine","Medicine",323,0,65.0
A_100plus_pubs,"myleswo","Myles Wolf","Sanford I. Weill Chair of Medicine","Medicine",322,1,68.0
A_100plus_pubs,"ves4007","Vered Stearns","Professor of Medicine","Medicine",301,2,78.0
A_100plus_pubs,"pag9051","Parag Goyal","Associate Professor of Medicine","Medicine",292,2,73.0
A_100plus_pubs,"haw9006","Hannah Wunsch","Professor of Anesthesiology","Anesthesiology",287,0,67.0
A_100plus_pubs,"rzs9001","Reem Z. Sharaiha","Professor of Medicine","Medicine",272,1,66.0
A_100plus_pubs,"ram2045","Rayaz A. Malik","Professor of Medicine","Medicine",265,2,65.0
A_100plus_pubs,"job2064","John Blenis","Professor of Pharmacology","Pharmacology",253,4,75.0
A_100plus_pubs,"achadbur","Amy Chadburn","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",250,0,74.0
A_100plus_pubs,"jww2001","Jonathan W Weinsaft","Professor of Medicine","Medicine",245,1,64.0
A_100plus_pubs,"mas9313","Manish A Shah","Professor of Medicine","Medicine",243,0,77.0
A_100plus_pubs,"emm4010","Beth McGinty","Professor of Population Health Sciences","Population Health Sciences",242,1,71.0
A_100plus_pubs,"kap9161","Katharine Phillips","Professor of Psychiatry","Psychiatry",234,0,55.0
A_100plus_pubs,"haf9016","Howard Alan Fine","Professor of Neurology","Neurology",233,0,67.0
A_100plus_pubs,"jdw2002","Jedd D Wolchok","Professor","Medicine",228,3,80.0
A_100plus_pubs,"tam2037","Taha Merghoub","Professor of Pharmacology","Pharmacology",226,5,80.0
A_100plus_pubs,"djm9016","Daniel Margolis","Professor of Radiology","Radiology",223,1,60.0
A_100plus_pubs,"jlaurenc","Jeffrey C Laurence","Professor of Medicine","Medicine",220,0,74.0
A_100plus_pubs,"ban9003","Babak Benjamin Navi","Associate Professor of Neurology","Neurology",220,0,65.0
A_100plus_pubs,"mecharl","Mary E Charlson","Professor of Medicine","Medicine",218,0,56.0
A_100plus_pubs,"rsb2005","Robert S. Brown","Professor","Medicine",217,2,64.0
A_100plus_pubs,"nel4003","Neal Lindeman","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",216,0,47.0
A_100plus_pubs,"sjc7004","Sara Czaja","Professor of Gerontology in Medicine","Medicine",212,3,65.0
A_100plus_pubs,"ljaronne","Louis J Aronne","Professor of Clinical Medicine","Medicine",210,0,74.0
A_100plus_pubs,"vip2021","Virginia Pascual","Director, Drukier Institute","Pediatrics",208,4,79.0
A_100plus_pubs,"mmr2011","Mohamed Mohamed Rahouma Ahmed","Assistant Professor of Research in Cardiothoracic Surgery","Cardiothoracic Surgery",208,0,67.0
A_100plus_pubs,"pes2008","Philip E Stieg","Professor of Neurological Surgery","Neurological Surgery",205,0,65.0
A_100plus_pubs,"jom4010","Jorge Moscat","Homer T. Hirst III Professor of Oncology in Pathology","Pathology and Laboratory Medicine",203,2,66.0
A_100plus_pubs,"pek2003","P.J. Klasse","Professor of Research in Microbiology and Immunology","Microbiology and Immunology",195,0,64.0
A_100plus_pubs,"alexisa","Andrew F. Alexis","Professor of Clinical Dermatology","Dermatology",194,1,61.0
A_100plus_pubs,"gdpalerm","Gianpiero D. Palermo","Professor of Embryology in Obstetrics and Gynecology","Obstetrics and Gynecology",193,1,61.0
A_100plus_pubs,"zrm2001","Ziyad Riyad Mahfoud","Professor of Research in Population Health Sciences","Population Health Sciences",190,0,59.0
A_100plus_pubs,"jur9123","Junaid Razzak","Professor of Emergency Medicine","Emergency Medicine",189,5,64.0
A_100plus_pubs,"ans2077","Andrea Sboner","Associate Professor","Pathology and Laboratory Medicine",189,1,75.0
A_100plus_pubs,"law9067","Lars F Westblade","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",188,0,72.0
A_100plus_pubs,"dss2001","Douglas S Scherr","Professor of Urology","Urology",185,0,75.0
A_100plus_pubs,"fslee","Francis S Lee","Chair of Psychiatry","Psychiatry",183,2,62.0
A_100plus_pubs,"srk4008","Sangeeta Kashyap","Professor of Clinical Medicine","Medicine",181,0,75.0
A_100plus_pubs,"jas2037","Jason A. Spector","Professor of Surgery (Plastic Surgery)","Surgery",180,2,64.0
A_100plus_pubs,"tom4003","Tobias Meyer","Joseph C. Hinsey Professor in Cell & Developmental Biology","Cell and Developmental Biology",176,1,75.0
A_100plus_pubs,"mtd4001","Maria T. Diaz-Meco","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",176,1,66.0
A_100plus_pubs,"hsc2001","Hiam Souheil Chemaitelly","Assistant Professor of Research in Population Health Sciences","Population Health Sciences",176,0,83.0
A_100plus_pubs,"dwskupsk","Daniel W Skupski","Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",176,0,63.0
A_100plus_pubs,"pcw4001","Patrick Wilson","Professor of Microbiology and Immunology in Pediatrics","Pediatrics",176,0,75.0
A_100plus_pubs,"qat9001","Quynh A. Truong","Professor of Radiology","Radiology",173,0,60.0
A_100plus_pubs,"few2001","Fei Wang","Professor of Population Health Sciences","Population Health Sciences",172,4,67.0
A_100plus_pubs,"lig2002","Linda M Gerber","Professor of Population Health Sciences","Population Health Sciences",172,1,65.0
A_100plus_pubs,"acp9008","Anna C Pavlick","Professor of Medicine","Medicine",171,0,67.0
A_100plus_pubs,"ans9243","Anthony P. Sclafani","Professor of Otolaryngology","Otolaryngology Head and Neck Surgery",170,0,52.0
A_100plus_pubs,"smarkow","Steven M Markowitz","Professor of Medicine","Medicine",170,0,66.0
A_100plus_pubs,"alm9097","Alexander Merkler","Assistant Professor of Neurology","Neurology",170,0,65.0
A_100plus_pubs,"jub2029","Juliet Barker","Professor of Medicine","Medicine",169,2,64.0
A_100plus_pubs,"horneve","Evelyn M. Horn","Professor of Clinical Medicine","Medicine",169,0,65.0
A_100plus_pubs,"rkaner","Robert J. Kaner","Professor of Clinical Medicine","Medicine",168,4,74.0
A_100plus_pubs,"sam9200","Santosh Bhaskar Murthy","Associate Professor of Neurology","Neurology",168,0,65.0
A_100plus_pubs,"rdgranst","Richard D Granstein","Chair of Dermatology","Dermatology",168,0,72.0
A_100plus_pubs,"yip4002","Yifan Peng","Associate Professor of Population Health Sciences","Population Health Sciences",164,4,67.0
A_100plus_pubs,"lum4003","Luigi Marchionni","Associate Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",164,1,62.0
A_100plus_pubs,"rsb4005","Russell Berman","Professor of Surgery","Surgery",163,0,53.0
A_100plus_pubs,"sat9211","Alessandro Fichera - Surgery","Professor of Surgery","Surgery",163,0,56.0
A_100plus_pubs,"chl9077","Christopher Lau","Associate Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",162,0,67.0
A_100plus_pubs,"rnp2002","Rob N. Peck","Associate Professor of Medicine","Medicine",161,2,60.0
A_100plus_pubs,"slmick","Stephanie L. Mick","Associate Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",161,0,55.0
A_100plus_pubs,"inp2002","Ioannis Nikolaos Petropoulos","Assistant Professor of Research in Medicine","Medicine",160,0,64.0
A_100plus_pubs,"jim2012","Jialin Mao","Assistant Professor of Population Health Sciences","Population Health Sciences",159,1,64.0
A_100plus_pubs,"phk9009","Philip Katz","Professor of Medicine","Medicine",159,0,64.0
A_100plus_pubs,"pas2018","Pascal Spincemaille","Associate Professor of Physics Research in Radiology","Radiology",158,2,75.0
A_100plus_pubs,"rbjones","Brad Jones","Associate Professor of Immunology in Medicine","Medicine",157,6,74.0
A_100plus_pubs,"las4011","Laura Santambrogio","Professor of Radiation Oncology","Radiation Oncology",156,3,74.0
A_100plus_pubs,"stp9039","Stephen J. Peterson","Professor of Clinical Medicine","Medicine",156,0,56.0
A_100plus_pubs,"mar9391","Matthew Robbins","Professor of Neurology","Neurology",156,0,72.0
A_100plus_pubs,"dis2003","Dirk Schnappinger","Professor of Microbiology and Immunology","Microbiology and Immunology",155,3,65.0
A_100plus_pubs,"kab4027","Kathryn Beal","Associate Professor of Radiation Oncology (Pending Appointment at Rank)","Radiation Oncology",155,0,45.0
A_100plus_pubs,"res2025","Robert E. Schwartz","Professor of Medicine","Medicine",154,2,79.0
A_100plus_pubs,"pam2056","Paul K Maciejewski","Associate Professor of Biostatistics in Radiology","Radiology",154,2,74.0
A_100plus_pubs,"rsw9006","Robert Samuel White","Assistant Professor of Anesthesiology","Anesthesiology",154,0,65.0
A_100plus_pubs,"dls7001","Deirdre Sawinski","Associate Professor of Medicine","Medicine",154,0,70.0
A_100plus_pubs,"mec2013","Melissa Cushing","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",153,0,72.0
A_100plus_pubs,"lac4029","Laura C. Collins","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",153,0,57.0
A_100plus_pubs,"mkf2002","Melissa Frey","Associate Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",152,1,65.0
A_100plus_pubs,"tdn2001","Thanh D. Nguyen","Associate Professor of Physics Research in Radiology","Radiology",150,1,65.0
A_100plus_pubs,"mik2002","Michael G Kaplitt","Professor of Neurological Surgery","Neurological Surgery",149,3,72.0
A_100plus_pubs,"map2007","Manish A Parikh","Associate Professor of Medicine (Pending Appointment at Rank)","Medicine",149,0,65.0
A_100plus_pubs,"dpoppas","Dix Phillip Poppas","Professor of Urology","Urology",148,0,55.0
A_100plus_pubs,"lar9110","Laura Riley","Chair of Obstetrics and Gynecology","Obstetrics and Gynecology",148,0,63.0
A_100plus_pubs,"blhempst","Barbara L. Hempstead","Professor of Medicine","Medicine",147,1,57.0
A_100plus_pubs,"jjfins","Joseph J. Fins","Professor of Medicine","Medicine",147,0,72.0
A_100plus_pubs,"mog4005","Moustafa Gabr","Associate Professor of Chemistry in Radiology","Radiology",145,6,62.0
A_100plus_pubs,"jak2043","Jan Krumsiek","Associate Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",145,1,72.0
A_100plus_pubs,"smm2010","Sean M. Murphy","Professor of Population Health Sciences","Population Health Sciences",144,0,63.0
A_100plus_pubs,"sis2019","Simon Scheuring","Professor of Biochemistry and Biophysics in Anesthesiology","Anesthesiology",143,2,75.0
A_100plus_pubs,"lal9131","Larry Latson, Jr.","Associate Professor of Clinical Radiology (Pending Appointment at Rank)","Radiology",143,0,
A_100plus_pubs,"mrs9012","Madeline R. Sterling","Associate Professor of Medicine","Medicine",142,3,66.0
A_100plus_pubs,"jak4033","Jaikirshan Khatri","Associate Professor of Clinical Medicine","Medicine",142,0,38.0
A_100plus_pubs,"lcp2003","Laura Pinheiro","Associate Professor of Health Services Research in Medicine","Medicine",140,1,68.0
A_100plus_pubs,"dcs7001","Dikoma C. Shungu","Professor of Physics in Radiology","Radiology",140,1,54.0
A_100plus_pubs,"dmd2001","Darshana M Dadhania","Associate Professor of Medicine","Medicine",139,1,62.0
A_100plus_pubs,"daf2037","David Fishman","Professor of Clinical Obstetrics and Gynecology","Obstetrics and Gynecology",139,0,55.0
A_100plus_pubs,"emh2002","Elizabeth Hecht","Professor of Radiology","Radiology",138,0,54.0
A_100plus_pubs,"lvr9004","Larissa Rodriguez","Chair of Urology","Urology",137,1,55.0
A_100plus_pubs,"jro7001","Joseph R. Osborne","Professor of Radiology","Radiology",137,0,60.0
A_100plus_pubs,"miz9022","Michael Zenilman","Professor of Surgery","Surgery",136,0,48.0
A_100plus_pubs,"nhackett","Neil R. Hackett","Professor of Research in Genetic Medicine","Genetic Medicine",136,0,63.0
A_100plus_pubs,"dib2015","Dietrich Büsselberg","Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",134,0,52.0
A_100plus_pubs,"chb9074","Christopher Barbieri","Professor of Urology","Urology",131,2,71.0
A_100plus_pubs,"ejs2005","Ellen J Scherl","Professor of Clinical Medicine","Medicine",129,0,75.0
A_100plus_pubs,"col2004","Conor Liston","Professor of Psychiatry","Psychiatry",128,3,81.0
A_100plus_pubs,"juz4004","Judy Zhong - Population Health Sciences","Professor of Population Health Sciences","Population Health Sciences",128,2,65.0
A_100plus_pubs,"shselesn","Samuel H Selesnick","Professor of Otolaryngology","Otolaryngology Head and Neck Surgery",125,0,48.0
A_100plus_pubs,"shr4009","Shoshana Rosenberg","Associate Professor of Population Health Sciences","Population Health Sciences",123,2,64.0
A_100plus_pubs,"zhc2006","Zhengming Chen","Assistant Professor of Population Health Sciences","Population Health Sciences",123,0,70.0
A_100plus_pubs,"djs2001","David J Slotwiner","Assistant Professor of Clinical Medicine","Medicine",122,0,57.0
A_100plus_pubs,"mag3003","Matthew Blake Greenblatt","Associate Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",121,6,75.0
A_100plus_pubs,"kas3002","Kaushal Shah","Professor of Clinical Emergency Medicine","Emergency Medicine",121,0,60.0
A_100plus_pubs,"est2003","Emily Smith Tonorezos","Associate Professor of Medicine","Medicine",121,0,71.0
A_100plus_pubs,"wab4001","Walter Richard Boot","Professor of Psychology in Medicine","Medicine",121,0,60.0
A_100plus_pubs,"vhj4001","Victor Jimenez Zepeda","Associate Professor of Medicine (Pending Appointment at Rank)","Medicine",120,0,
A_100plus_pubs,"stw2006","Stefan Worgall","Professor of Pediatrics","Pediatrics",119,2,75.0
A_100plus_pubs,"amk2012","Amy Kuceyeski","Professor of Mathematics in Radiology","Radiology",119,1,70.0
A_100plus_pubs,"var4002","Vanessa Rouzier","Assistant Professor of Pediatrics in Medicine","Medicine",119,0,61.0
A_100plus_pubs,"jcd4001","Jurgen C. de Graaff","Associate Professor of Clinical Anesthesiology","Anesthesiology",119,0,
A_100plus_pubs,"aer2006","Tony Rosen","Associate Professor of Emergency Medicine","Emergency Medicine",117,2,60.0
A_100plus_pubs,"mut9002","Thangamani Muthukumar","Associate Professor of Medicine","Medicine",117,0,60.0
A_100plus_pubs,"samstei","Benjamin Samstein","Professor of Surgery","Surgery",116,0,64.0
A_100plus_pubs,"jup9003","Juan M. Pascual","Professor of Pediatrics (Pending Appointment at Rank)","Pediatrics",115,2,62.0
A_100plus_pubs,"anr2783","Anais Rameau","Associate Professor of Otolaryngology","Otolaryngology Head and Neck Surgery",115,2,61.0
A_100plus_pubs,"ibh9004","Ibrahim Hussain","Assistant Professor of Neurological Surgery","Neurological Surgery",115,0,64.0
A_100plus_pubs,"paugust","Phyllis August","Professor of Medicine","Medicine",115,0,72.0
A_100plus_pubs,"cem2009","Cem Meydan","Assistant Professor of Computational Biology Research in Medicine","Medicine",115,0,72.0
A_100plus_pubs,"hlipkind","Heather Lipkind","Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",115,0,68.0
A_100plus_pubs,"arr2014","Arindam RoyChoudhury","Associate Professor of Population Health Sciences","Population Health Sciences",115,0,60.0
A_100plus_pubs,"zhz9010","Zhen Zhao","Professor of Clinical Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",114,3,74.0
A_100plus_pubs,"yil4008","Yi Li","Associate Professor of Radiology","Radiology",114,0,64.0
A_100plus_pubs,"jet2021","Jessica Tyler","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",113,3,60.0
A_100plus_pubs,"bpe9002","Aviram Mizrachi","Associate Professor of Otolaryngology (Pending Appointment at Rank)","Otolaryngology Head and Neck Surgery",113,0,60.0
A_100plus_pubs,"mrd2006","Michelle Demetres","Associate Librarian","Library",113,0,68.0
A_100plus_pubs,"lir9065","Lisa Qia Rong","Associate Professor of Anesthesiology","Anesthesiology",111,1,67.0
A_100plus_pubs,"row9057","Robert J. Winchell","Professor of Surgery","Surgery",111,0,55.0
A_100plus_pubs,"hey9002","Heather Yeo","Associate Professor of Surgery","Surgery",110,2,64.0
A_100plus_pubs,"ths9004","Theresa Scognamiglio","Associate Professor of Clinical Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",110,0,57.0
A_100plus_pubs,"gcc9004","Gloria Chia-Yi Chiang","Professor of Radiology","Radiology",109,1,65.0
A_100plus_pubs,"all9188","Ava L Liberman","Assistant Professor of Neurology","Neurology",109,1,58.0
A_100plus_pubs,"lig4005","Lidia Glodzik","Associate Professor of Neuroscience in Radiology","Radiology",109,1,60.0
A_100plus_pubs,"vim2010","Vivek Mittal","Professor of Cell and Developmental Biology in Cardiothoracic Surgery","Cardiothoracic Surgery",108,5,75.0
A_100plus_pubs,"khd9010","Dhruv Khullar","Associate Professor of Population Health Sciences","Population Health Sciences",108,1,67.0
A_100plus_pubs,"sgk4001","Gene Kim","Professor of Biomedical Engineering in Radiology","Radiology",108,1,63.0
A_100plus_pubs,"miv2010","Michael Virk","Assistant Professor of Neurological Surgery","Neurological Surgery",108,0,37.0
A_100plus_pubs,"ejs9005","Edward J. Schenck","Assistant Professor of Medicine","Medicine",106,1,74.0
A_100plus_pubs,"jai9018","Jana Ivanidze","Associate Professor of Radiology","Radiology",106,1,60.0
A_100plus_pubs,"mwm9004","Matthew William McCarthy","Associate Professor of Medicine","Medicine",106,0,65.0
A_100plus_pubs,"sal4044","Sangil Lee","Associate Professor of Emergency Medicine (Pending Appointment at Rank)","Emergency Medicine",106,0,
A_100plus_pubs,"lmo2003","Lauren M. Osborne","Associate Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",105,1,63.0
A_100plus_pubs,"grd9006","Gregory F Dakin","Associate Professor of Surgery","Surgery",105,0,62.0
A_100plus_pubs,"aaa4027","Alaa Ali Abd-Alrazaq","Assistant Professor of Research in Population Health Sciences","Population Health Sciences",105,0,65.0
A_100plus_pubs,"dal3005","Dan Avi Landau","Professor of Medicine","Medicine",104,11,73.0
A_100plus_pubs,"ras9030","Ravi Sharaf","Associate Professor of Medicine","Medicine",104,0,64.0
A_100plus_pubs,"dxl9003","Yuhei Kobayashi","Assistant Professor of Clinical Medicine","Medicine",104,0,65.0
A_100plus_pubs,"gef4003","Genevieve Fouda","Professor of Pediatrics","Pediatrics",103,4,61.0
A_100plus_pubs,"bmf9002","Brendan M. Finnerty","Associate Professor of Surgery","Surgery",103,0,60.0
A_100plus_pubs,"tab2006","Tracy A. Butler","Associate Professor of Neurology in Radiology","Radiology",102,4,64.0
A_100plus_pubs,"wkhollo","William K. Holloman","Professor of Microbiology and Immunology","Microbiology and Immunology",102,0,52.0
A_100plus_pubs,"she9021","Sharif H. Ellozy","Associate Professor of Clinical Surgery","Surgery",102,0,51.0
A_100plus_pubs,"atabaee","Abtin Tabaee","Associate Professor of Otolaryngology","Otolaryngology Head and Neck Surgery",101,0,50.0
A_100plus_pubs,"ela9033","Elizabeth Kagan Arleo","Professor of Radiology","Radiology",100,0,38.0
B_50to99_pubs,"lud2005","Lukas Edward Dow","Professor of Biochemistry in Medicine","Medicine",99,4,75.0
B_50to99_pubs,"jom4032","Jonathan Mamou","Professor of Electrical Engineering in Radiology","Radiology",99,4,58.0
B_50to99_pubs,"stk9005","Steven Karceski","Assistant Professor of Neurology","Neurology",99,0,35.0
B_50to99_pubs,"src4005","Steven Cohen","Professor of Dermatology","Dermatology",99,0,60.0
B_50to99_pubs,"ptm2001","Peter T Meinke","Sanders Director of the Tri I TDI","Pharmacology",99,0,70.0
B_50to99_pubs,"jep2025","Jihye Paik","Associate Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",98,1,57.0
B_50to99_pubs,"jak9030","Jared Knopman","Associate Professor of Neurological Surgery","Neurological Surgery",98,0,63.0
B_50to99_pubs,"psli","Philip S. Li","Professor of Research in Urology","Urology",98,0,60.0
B_50to99_pubs,"ajp9012","Anna Podolanczuk","Associate Professor of Clinical Medicine","Medicine",96,2,66.0
B_50to99_pubs,"gek2009","George Khelashvili","Associate Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",96,0,70.0
B_50to99_pubs,"tak4011","Tatyana Kushner","Associate Professor of Medicine","Medicine",95,2,62.0
B_50to99_pubs,"qrr4001","Qolamreza Ray Razlighi","Associate Professor of Neuroscience in Radiology","Radiology",95,1,55.0
B_50to99_pubs,"das2043","Daniel Shalev","Assistant Professor of Medicine","Medicine",95,1,62.0
B_50to99_pubs,"shc9182","Shmuel Chen","Assistant Professor of Medicine","Medicine",94,0,61.0
B_50to99_pubs,"ritchie","Ellen K. Ritchie","Associate Professor of Clinical Medicine","Medicine",94,0,64.0
B_50to99_pubs,"kad9090","Katerina Dodelzon","Associate Professor of Clinical Radiology","Radiology",93,0,55.0
B_50to99_pubs,"bmw2002","Berhane M. Worku","Associate Professor of Clinical Cardiothoracic Surgery","Cardiothoracic Surgery",93,0,41.0
B_50to99_pubs,"lig4013","Lisa Gfrerer","Associate Professor of Surgery (Plastic Surgery)","Surgery",92,1,64.0
B_50to99_pubs,"lok9031","Eilon Ram","Assistant Professor of Cardiothoracic Surgery","Cardiothoracic Surgery",92,0,65.0
B_50to99_pubs,"oma4009","Omar Abdul-Rahman","Professor of Pediatrics","Pediatrics",92,0,51.0
B_50to99_pubs,"gbm9002","Geraldine McGinty","Professor of Clinical Radiology","Radiology",92,0,57.0
B_50to99_pubs,"bmf9003","Bishoy Morris Faltas","Associate Professor of Medicine","Medicine",91,6,75.0
B_50to99_pubs,"als2026","Ali Sultan","Professor of Teaching in Microbiology and Immunology","Microbiology and Immunology",91,1,58.0
B_50to99_pubs,"elc9120","Eloise Chapman","Associate Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",91,0,75.0
B_50to99_pubs,"oaz4001","Oana Zeleznik","Associate Professor of Population Health Sciences (Pending Appointment at Rank)","Population Health Sciences",90,0,56.0
B_50to99_pubs,"baa2012","Bashir Al Hussein","Assistant Professor of Urology","Urology",90,0,66.0
B_50to99_pubs,"frk9007","Francesca Khani","Associate Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",89,0,62.0
B_50to99_pubs,"ral2006","Randy Longman","Associate Professor of Medicine","Medicine",88,6,73.0
B_50to99_pubs,"sus2044","Subhash Sinha","Professor of Research in Neuroscience","Brain and Mind Research",88,2,75.0
B_50to99_pubs,"nil9028","Ning Lin","Associate Professor of Neurological Surgery","Neurological Surgery",88,0,39.0
B_50to99_pubs,"brd9011","Brian DeRubertis","Professor of Surgery","Surgery",88,0,60.0
B_50to99_pubs,"shp9079","Sharon J. Parish","Professor of Medicine in Clinical Psychiatry","Psychiatry",87,0,56.0
B_50to99_pubs,"lan4002","Lisa Newman","Professor of Surgery","Surgery",86,5,67.0
B_50to99_pubs,"yiz2014","Yiye Zhang","Associate Professor of Population Health Sciences","Population Health Sciences",86,1,65.0
B_50to99_pubs,"tha2002","Thurayya Arayssi","Professor of Clinical Medicine","Medicine",85,0,55.0
B_50to99_pubs,"tai9015","Tan Ince","Professor of Pathology and Laboratory Medicine","Pathology and Laboratory Medicine",83,1,47.0
B_50to99_pubs,"dik2002","David I. Kutler","Associate Professor of Otolaryngology","Otolaryngology Head and Neck Surgery",81,0,45.0
B_50to99_pubs,"aps2004","Alpana P. Shukla","Associate Professor of Research in Medicine","Medicine",81,0,73.0
B_50to99_pubs,"pleopold","Philip L. Leopold","Associate Professor of Research in Genetic Medicine","Genetic Medicine",81,0,65.0
B_50to99_pubs,"cha9043","Cheguevara Afaneh","Associate Professor of Surgery","Surgery",81,0,62.0
B_50to99_pubs,"jtl2003","Joshua Levitz","Professor of Biochemistry and Biophysics","Biochemistry and Biophysics",79,4,62.0
B_50to99_pubs,"djl9010","Dana Jeremy Lukin","Associate Professor of Clinical Medicine","Medicine",79,1,62.0
B_50to99_pubs,"abj9004","Arun B. Jesudian","Professor of Clinical Medicine","Medicine",79,0,64.0
B_50to99_pubs,"nah2005","Nathaniel Hupert","Associate Professor of Population Health Sciences","Population Health Sciences",79,0,64.0
B_50to99_pubs,"shethsu","Sujit Sheth","Professor of Clinical Pediatrics","Pediatrics",79,0,79.0
B_50to99_pubs,"ekk2003","Ekta Khurana","Associate Professor of Systems and Computational Biomedicine","Systems and Computational Biomedicine",78,3,75.0
B_50to99_pubs,"jms2003","Joseph M Scandura","Associate Professor of Medicine","Medicine",78,3,70.0
B_50to99_pubs,"jdifede","JoAnn Difede","Professor of Psychology in Psychiatry","Psychiatry",78,0,62.0
B_50to99_pubs,"efa2001","Eftychia Apostolou","Associate Professor of Molecular Biology in Medicine","Medicine",77,4,75.0
B_50to99_pubs,"mos7003","Moeun Son","Associate Professor of Obstetrics and Gynecology","Obstetrics and Gynecology",77,1,63.0
B_50to99_pubs,"sab7015","Samuel Bruce","Assistant Professor of Neurology","Neurology",77,0,65.0
B_50to99_pubs,"pag2014","Peter A Goldstein","Professor of Anesthesiology","Anesthesiology",77,0,73.0
B_50to99_pubs,"rmm2002","Robert M Minutello","Associate Professor of Clinical Medicine","Medicine",77,0,63.0
B_50to99_pubs,"rkj4003","Rohit Kumar Jain","Associate Professor of Clinical Medicine","Medicine",77,0,73.0
B_50to99_pubs,"san2028","Sadek Nehmeh","Professor of Medical Physics in Radiology","Radiology",76,1,60.0
B_50to99_pubs,"kmv4001","Kristin Voegtline","Assistant Professor of Maternal and Fetal Health in Obstetrics and Gynecology","Obstetrics and Gynecology",76,0,55.0
B_50to99_pubs,"lct4001","Sri Lekha Tummalapalli","Assistant Professor of Population Health Sciences","Population Health Sciences",75,2,60.0
B_50to99_pubs,"alg2057","Alexander Galkin","Associate Professor of Research in Neuroscience","Brain and Mind Research",75,1,55.0
B_50to99_pubs,"mfink","Matthew E. Fink","Chair of Neurology","Neurology",75,0,65.0
B_50to99_pubs,"shg3006","Shiaoching Gong","Associate Professor of Research in Neuroscience","Brain and Mind Research",75,0,75.0
B_50to99_pubs,"nis2051","Nili Solomonov","Associate Professor of Psychology in Psychiatry","Psychiatry",74,3,76.0
B_50to99_pubs,"aoa9001","Anthony O. Ahmed","Associate Professor of Psychology in Clinical Psychiatry","Psychiatry",74,0,64.0
